geography_level,province_name,municipality_name,ward_name,issue_family,service_domain,event_date,period_year,severity,summary_text,source_name,source_url,verification_tier
ward,Mpumalanga,Thembisile Hani,Ward 31,Water and local services,Water,,2024,Medium,"Thembisile Hani records Ward 31 issues around the steel water tank, water reticulation, electricity requests in farm areas, and a multi-purpose centre request.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%202023%20TO%202024.docx.pdf,verified_enrichment
ward,Mpumalanga,Thembisile Hani,Ward 31,Borehole provisioning,Water,,2019,Medium,"Thembisile Hani's 2019 IDP review links a borehole intervention and municipal value line item to Ward 31, giving the ward an older water-infrastructure reference point.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%20REVIEW%202019%20%282%29%20%3D%3D%3D%3D%3D%3D.pdf,verified_enrichment
ward,Mpumalanga,Govan Mbeki,Ward 14,Housing demand and settlement pressure,Housing,,2025,Medium,"Govan Mbeki's published Ward 14 housing list provides a formal signal of ward-level housing demand and beneficiary pressure.",Govan Mbeki Municipality,https://www.govanmbeki.gov.za/housing/,verified_enrichment
ward,Mpumalanga,Steve Tshwete,Ward 10,Road surfacing and storm-water drainage,Roads,,2018,High,"Steve Tshwete's IDP records Ward 10 priorities for storm-water drainage, tarring of roads, and paving of sidewalks, indicating persistent local mobility and drainage pressure.",Steve Tshwete Local Municipality,https://www.stevetshwetelm.gov.za/documents/IDP/201819/201819%20draft%20IDP%201.pdf,verified_enrichment
ward,Mpumalanga,Steve Tshwete,Ward 10,Community facilities and local services,Housing,,2018,Medium,"Ward 10 priorities in the Steve Tshwete IDP include a community hall, mobile clinic, serviced stands, and RDP houses, pointing to recurring service and settlement demand.",Steve Tshwete Local Municipality,https://www.stevetshwetelm.gov.za/documents/IDP/201819/201819%20draft%20IDP%201.pdf,verified_enrichment
ward,Mpumalanga,Steve Tshwete,Ward 10,Street lighting and public amenities,Electricity,,2018,Medium,"Ward 10 priorities in the Steve Tshwete IDP include street lights, high-mast lights, sports facilities, and a library, indicating durable public-amenity and lighting pressure.",Steve Tshwete Local Municipality,https://www.stevetshwetelm.gov.za/documents/IDP/201819/201819%20draft%20IDP%201.pdf,verified_enrichment
ward,Eastern Cape,Raymond Mhlaba,Ward 23,Electricity,Electricity,,2024,Medium,"Raymond Mhlaba's 2024/25 IDP identifies maintenance of high-mast lighting and streetlights as a Ward 23 community priority.",Raymond Mhlaba Municipality,https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/FINAL%20IDP%20FOR%202024-25.pdf,verified_enrichment
ward,Eastern Cape,Raymond Mhlaba,Ward 23,Roads and storm-water access,Roads,,2024,High,"Ward 23 issues in the Raymond Mhlaba 2024/25 IDP include road maintenance, regravelling, and paving of multiple streets including Da Silva, Bourke, Hutton, Nappier, Somerset, Khweyi, Baseka, Graveyard Road, and Lindani Street.",Raymond Mhlaba Municipality,https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/FINAL%20IDP%20FOR%202024-25.pdf,verified_enrichment
ward,Eastern Cape,Raymond Mhlaba,Ward 23,Water and sanitation access,Water,,2024,High,"Ward 23 priorities in the Raymond Mhlaba 2024/25 IDP include access to water, borehole maintenance, sewer pond extension, and upgrading of public toilets.",Raymond Mhlaba Municipality,https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/FINAL%20IDP%20FOR%202024-25.pdf,verified_enrichment
ward,Northern Cape,Sol Plaatje,Ward 01,Infrastructure-led community priorities,Roads,,2022,Medium,"Sol Plaatje's 2022-2027 IDP categorises Ward 1 as an infrastructure-priority ward in the community input summary, indicating that local infrastructure concerns dominated ward planning inputs.",Sol Plaatje Local Municipality,https://www.solplaatje.org.za/wordpress/wp-content/uploads/2023/09/SPLM-IDP-2022-2027_FINAL_REPORT2.pdf,verified_enrichment
