province_name,municipality_name,ward_name,issue_family,service_domain,event_date,period_year,severity,summary_text,source_name,source_url,verification_tier
Eastern Cape,Buffalo City,Ward 01,Shared ward roads provision,Roads,,2025,Medium,"Buffalo City's 2025/26 detailed capital works plan includes Roads Provision for Wards 01, 02, and 16, confirming an official ward-linked roads maintenance and access allocation for Ward 01.",Buffalo City Metropolitan Municipality,https://www.buffalocity.gov.za/CM/uploads/documents/202508070717519746946..ANNEXUREE-WARDINFORMATIONFOREXPENDITUREANDSERVICEDELIVERYANDDETAILEDCAPITALWORKSPLANBROKENDOWNBYWARDOVER3YEARS.pdf,verified_enrichment
Mpumalanga,Bushbuckridge,Ward 24,Internal streets and local road access,Roads,,2026,Medium,"Bushbuckridge budget schedules include construction of internal streets in South Ward 24, indicating ongoing ward-level access and mobility investment pressure.",Bushbuckridge Local Municipality,https://www.bushbuckridge.gov.za/images/files/2025/12/18/797/Final_budget_CAPEX_2026.pdf,verified_enrichment
Mpumalanga,Thembisile Hani,Ward 18,Storm-water drainage and internal roads,Roads,,2024,High,"Thembisile Hani IDP inputs for Ward 18 record storm-water access roads, road paving, regravelling, pothole patching, and drainage complaints in Chris Hani, Thokoza, and Tweefontein M.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%202023%20TO%202024.docx.pdf,verified_enrichment
Mpumalanga,Thembisile Hani,Ward 31,Roads and storm-water drainage,Roads,,2024,High,"Thembisile Hani's 2023/24 IDP records Ward 31 priorities including gravelling and maintenance of internal roads, paving, storm-water drainage renovation, bridge construction, speed humps, and road upgrades between Kwagga and Mzimuhle.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%202023%20TO%202024.docx.pdf,verified_enrichment
Mpumalanga,Thembisile Hani,Ward 31,Water and local services,Water,,2024,Medium,"Ward 31 community inputs in the Thembisile Hani IDP include maintenance of the steel water tank, water reticulation, electricity requests in farm areas, and a request for a multi-purpose centre.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%202023%20TO%202024.docx.pdf,verified_enrichment
Mpumalanga,Thembisile Hani,Ward 31,Borehole provisioning,Water,,2019,Medium,"Thembisile Hani's 2019 IDP review lists a borehole allocation against Ward 31 together with a municipal value entry, showing an older ward-linked water intervention signal.",Thembisile Hani Local Municipality,https://www.thembisilehanilm.gov.za/sites/default/files/IDP%20REVIEW%202019%20%282%29%20%3D%3D%3D%3D%3D%3D.pdf,verified_enrichment
Mpumalanga,Govan Mbeki,Ward 14,Housing demand and settlement pressure,Housing,,2025,Medium,"Govan Mbeki publishes a Ward 14 housing list under its human settlements beneficiary records, signalling structured local housing demand and backlog management in the ward.",Govan Mbeki Municipality,https://www.govanmbeki.gov.za/housing/,verified_enrichment
Mpumalanga,Steve Tshwete,Ward 10,Road surfacing and storm-water drainage,Roads,,2018,High,"Steve Tshwete's IDP lists Ward 10 priorities including storm-water drainage, tarring of roads, and paving of sidewalks, indicating recurring local mobility and drainage pressure.",Steve Tshwete Local Municipality,https://www.stevetshwetelm.gov.za/documents/IDP/201819/201819%20draft%20IDP%201.pdf,verified_enrichment
Mpumalanga,Steve Tshwete,Ward 10,Community facilities and local services,Housing,,2018,Medium,"Ward 10 priorities in the Steve Tshwete IDP include a community hall, mobile clinic, refuse containers, a municipal paypoint, serviced stands, and RDP houses, pointing to persistent local service and settlement needs.",Steve Tshwete Local Municipality,https://www.stevetshwetelm.gov.za/documents/IDP/201819/201819%20draft%20IDP%201.pdf,verified_enrichment
Mpumalanga,Steve Tshwete,Ward 10,Street lighting and public amenities,Electricity,,2018,Medium,"Steve Tshwete's Ward 10 priority list includes street lights, high-mast lights, sports facilities, and a library, showing a durable ward-level public-amenity and lighting backlog.",Steve Tshwete Local Municipality,https://www.stevetshwetelm.gov.za/documents/IDP/201819/201819%20draft%20IDP%201.pdf,verified_enrichment
Eastern Cape,Raymond Mhlaba,Ward 23,Electricity,Electricity,,2024,Medium,"Raymond Mhlaba's 2024/25 IDP lists maintenance of high-mast lighting and streetlights as a Ward 23 community issue.",Raymond Mhlaba Municipality,https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/FINAL%20IDP%20FOR%202024-25.pdf,verified_enrichment
Eastern Cape,Raymond Mhlaba,Ward 23,Roads and storm-water access,Roads,,2024,High,"The Raymond Mhlaba 2024/25 IDP records Ward 23 priorities for regravelling, road maintenance, and paving of Da Silva, Bourke, Hutton, Nappier, Somerset, Khweyi, Baseka, Graveyard Road, and Lindani Street.",Raymond Mhlaba Municipality,https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/FINAL%20IDP%20FOR%202024-25.pdf,verified_enrichment
Eastern Cape,Raymond Mhlaba,Ward 23,Water and sanitation access,Water,,2024,High,"The Raymond Mhlaba 2024/25 IDP lists Ward 23 issues including access to water, maintenance of boreholes, extension of the sewer pond, and upgrading of public toilets.",Raymond Mhlaba Municipality,https://www.raymondmhlaba.gov.za/system/content/documents/reports/2024/idp_sdbip%20/FINAL%20IDP%20FOR%202024-25.pdf,verified_enrichment
Northern Cape,Sol Plaatje,Ward 01,Infrastructure-led community priorities,Roads,,2022,Medium,"Sol Plaatje's 2022-2027 IDP shows Ward 1 as an infrastructure-priority ward in the community input summary for wards 1 to 17, indicating persistent local infrastructure pressure in the ward planning process.",Sol Plaatje Local Municipality,https://www.solplaatje.org.za/wordpress/wp-content/uploads/2023/09/SPLM-IDP-2022-2027_FINAL_REPORT2.pdf,verified_enrichment
