source_id,source_name,source_url,source_owner,source_type,sphere,province,municipality,sector,data_role,update_frequency,access_method,reliability_tier,verification_status,verification_reference,notes
official-ec-muni-directory,Eastern Cape Municipalities Directory,https://www.gov.za/about-government/contact-directory/ec-municipalities,South African Government,official_gov,provincial,Eastern Cape,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities,"Official provincial municipality directory page"
official-fs-muni-directory,Free State Municipalities Directory,https://www.gov.za/about-government/contact-directory/fs-municipalities,South African Government,official_gov,provincial,Free State,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities,"Official provincial municipality directory page"
official-gp-muni-directory,Gauteng Municipalities Directory,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/gp-municipalities,South African Government,official_gov,provincial,Gauteng,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/gp-municipalities,"Official provincial municipality directory page"
official-kzn-muni-directory,KwaZulu-Natal Municipalities Directory,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/kzn-municipalities,South African Government,official_gov,provincial,KwaZulu-Natal,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/kzn-municipalities,"Official provincial municipality directory page"
official-lp-muni-directory,Limpopo Municipalities Directory,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/lp-municipalities,South African Government,official_gov,provincial,Limpopo,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/lp-municipalities,"Official provincial municipality directory page"
official-mp-muni-directory,Mpumalanga Municipalities Directory,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/mp-municipalities,South African Government,official_gov,provincial,Mpumalanga,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/mp-municipalities,"Official provincial municipality directory page"
official-nw-muni-directory,North West Municipalities Directory,https://www.gov.za/about-government/contact-directory/nw-municipalities,South African Government,official_gov,provincial,North West,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nw-municipalities,"Official provincial municipality directory page"
official-nc-muni-directory,Northern Cape Municipalities Directory,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/nc-municipalities,South African Government,official_gov,provincial,Northern Cape,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/nc-municipalities,"Official provincial municipality directory page"
official-wc-muni-directory,Western Cape Municipalities Directory,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/wc-municipalities,South African Government,official_gov,provincial,Western Cape,,"general","recommendation_context",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/provincial-and-local-government-directory/wc-municipalities,"Official provincial municipality directory page"
official-buffalo-city,Buffalo City Metropolitan Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/buffalo-city-metropolitan-municipality,Buffalo City Metropolitan Municipality,official_gov,metro,Eastern Cape,Buffalo City,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/buffalo-city-metropolitan-municipality,"Official metro directory page with website and contacts"
official-nelson-mandela-bay,Nelson Mandela Bay Metropolitan Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/nelson-mandela-bay-metropolitan-municipality,Nelson Mandela Bay Metropolitan Municipality,official_gov,metro,Eastern Cape,Nelson Mandela Bay,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/nelson-mandela-bay-metropolitan-municipality,"Official metro directory page with website and contacts"
official-mangaung,Mangaung Metropolitan Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/mangaung-metropolitan-municipality,Mangaung Metropolitan Municipality,official_gov,metro,Free State,Mangaung,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/mangaung-metropolitan-municipality,"Official metro directory page with website and contacts"
official-ekurhuleni,City of Ekurhuleni,https://www.gov.za/st/about-government/contact-directory/gp-municipalities/city-ekurhuleni,City of Ekurhuleni,official_gov,metro,Gauteng,City of Ekurhuleni,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/st/about-government/contact-directory/gp-municipalities/city-ekurhuleni,"Official metro directory page with website and contacts"
official-johannesburg,City of Johannesburg Metropolitan Municipality,https://www.gov.za/about-government/contact-directory/gp-municipalities/city-johannesburg-metropolitan-municipality,City of Johannesburg Metropolitan Municipality,official_gov,metro,Gauteng,City of Johannesburg,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/gp-municipalities/city-johannesburg-metropolitan-municipality,"Official metro directory page with website and contacts"
official-tshwane,City of Tshwane Metropolitan Municipality,https://www.gov.za/ts/about-government/contact-directory/gp-municipalities/city-tshwane-metropolitan-municipality,City of Tshwane Metropolitan Municipality,official_gov,metro,Gauteng,City of Tshwane,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/ts/about-government/contact-directory/gp-municipalities/city-tshwane-metropolitan-municipality,"Official metro directory page with website and contacts"
official-ethekwini,eThekwini Metropolitan Municipality,https://www.gov.za/about-government/contact-directory/kzn-municipalities/ethekwini-metropolitan-municipality,eThekwini Metropolitan Municipality,official_gov,metro,KwaZulu-Natal,eThekwini,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/ethekwini-metropolitan-municipality,"Official metro directory page with website and contacts"
official-cape-town,City of Cape Town Metropolitan Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/city-cape-town-metropolitan-municipality,City of Cape Town Metropolitan Municipality,official_gov,metro,Western Cape,City of Cape Town,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/city-cape-town-metropolitan-municipality,"Official metro directory page with website and contacts"
official-polokwane,Polokwane Local Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/polokwane-local-municipality,Polokwane Local Municipality,official_gov,local,Limpopo,Polokwane,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/polokwane-local-municipality,"Priority local municipality source"
official-sol-plaatje,Sol Plaatje Local Municipality,https://www.gov.za/about-government/contact-directory/nc-municipalities/sol-plaatje-local-municipality,Sol Plaatje Local Municipality,official_gov,local,Northern Cape,Sol Plaatje,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nc-municipalities/sol-plaatje-local-municipality,"Priority local municipality source"
official-rustenburg,Rustenburg Local Municipality,https://www.gov.za/about-government/contact-directory/nw-municipalities/rustenburg-local-municipality,Rustenburg Local Municipality,official_gov,local,North West,Rustenburg,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nw-municipalities/rustenburg-local-municipality,"Priority local municipality source"
official-mogale-city,Mogale City Local Municipality,https://www.gov.za/about-government/contact-directory/gp-municipalities/mogale-city-local-municipality,Mogale City Local Municipality,official_gov,local,Gauteng,Mogale City,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/gp-municipalities/mogale-city-local-municipality,"Priority local municipality source"
official-drakenstein,Drakenstein Local Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/drakenstein-local-municipality,Drakenstein Local Municipality,official_gov,local,Western Cape,Drakenstein,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/drakenstein-local-municipality,"Priority local municipality source"
official-ugu,Ugu District Municipality,https://www.gov.za/about-government/contact-directory/kzn-municipalities/ugu-district-municipality,Ugu District Municipality,official_gov,district,KwaZulu-Natal,Ugu,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/ugu-district-municipality,"Priority district municipality source"
official-or-tambo,OR Tambo District Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/or-tambo-district-municipality,OR Tambo District Municipality,official_gov,district,Eastern Cape,OR Tambo,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/or-tambo-district-municipality,"Official district municipality directory page with website and contacts"
official-amathole,Amathole District Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/amathole-district-municipality,Amathole District Municipality,official_gov,district,Eastern Cape,Amathole,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/amathole-district-municipality,"Official district municipality directory page with website and contacts"
official-joe-gqabi,Joe Gqabi District Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/joe-gqabi-district-municipality,Joe Gqabi District Municipality,official_gov,district,Eastern Cape,Joe Gqabi,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/joe-gqabi-district-municipality,"Official district municipality directory page with website and contacts"
official-mafube,Mafube Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/mafube-local-municipality,Mafube Local Municipality,official_gov,local,Free State,Mafube,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/mafube-local-municipality,"Official local municipality directory page with website and contacts"
official-metsimaholo,Metsimaholo Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/metsimaholo-local-municipality,Metsimaholo Local Municipality,official_gov,local,Free State,Metsimaholo,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/metsimaholo-local-municipality,"Official local municipality directory page with website and contacts"
official-makhado,Makhado Local Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/makhado-local-municipality,Makhado Local Municipality,official_gov,local,Limpopo,Makhado,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/makhado-local-municipality,"Official local municipality directory page with website and contacts"
official-govan-mbeki,Govan Mbeki Local Municipality,https://www.gov.za/about-government/contact-directory/mp-municipalities/govan-mbeki-local-municipality,Govan Mbeki Local Municipality,official_gov,local,Mpumalanga,Govan Mbeki,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/mp-municipalities/govan-mbeki-local-municipality,"Official local municipality directory page with website and contacts"
official-west-coast,West Coast District Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/west-coast-district-municipality,West Coast District Municipality,official_gov,district,Western Cape,West Coast,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/west-coast-district-municipality,"Official district municipality directory page with website and contacts"
official-hessequa,Hessequa Local Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/wc-municipalities/hessequa-local-municipality,Hessequa Local Municipality,official_gov,local,Western Cape,Hessequa,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/wc-municipalities/hessequa-local-municipality,"Official local municipality directory page with website and contacts"
official-ilembe,iLembe District Municipality,https://www.gov.za/about-government/contact-directory/kzn-municipalities/ilembe-district-municipality,iLembe District Municipality,official_gov,district,KwaZulu-Natal,iLembe,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/kzn-municipalities/ilembe-district-municipality,"Official district municipality directory page with website and contacts"
official-chris-hani,Chris Hani District Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/chris-hani-district-municipality,Chris Hani District Municipality,official_gov,district,Eastern Cape,Chris Hani,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/chris-hani-district-municipality,"Official district municipality directory page with website and contacts"
official-alfred-nzo,Alfred Nzo District Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/alfred-nzo-district-municipality,Alfred Nzo District Municipality,official_gov,district,Eastern Cape,Alfred Nzo,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/af/about-government/contact-directory/ec-municipalities/alfred-nzo-district-municipality,"Official district municipality directory page with website and contacts"
official-king-sabata-dalindyebo,King Sabata Dalindyebo Local Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/king-sabata-dalindyebo-local-municipality,King Sabata Dalindyebo Local Municipality,official_gov,local,Eastern Cape,King Sabata Dalindyebo,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/king-sabata-dalindyebo-local-municipality,"Official local municipality directory page with website and contacts"
official-thabo-mofutsanyana,Thabo Mofutsanyana District Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/thabo-mofutsanyana-district-municipality,Thabo Mofutsanyana District Municipality,official_gov,district,Free State,Thabo Mofutsanyana,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/thabo-mofutsanyana-district-municipality,"Official district municipality directory page with website and contacts"
official-lejweleputswa,Lejweleputswa District Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/lejweleputswa-district-municipality,Lejweleputswa District Municipality,official_gov,district,Free State,Lejweleputswa,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/lejweleputswa-district-municipality,"Official district municipality directory page with website and contacts"
official-xhariep,Xhariep District Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/xhariep-district-municipality,Xhariep District Municipality,official_gov,district,Free State,Xhariep,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/xhariep-district-municipality,"Official district municipality directory page with website and contacts"
official-capricorn,Capricorn District Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/capricorn-district-municipality,Capricorn District Municipality,official_gov,district,Limpopo,Capricorn,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/capricorn-district-municipality,"Official district municipality directory page with website and contacts"
official-mopani,Mopani District Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/mopani-district-municipality,Mopani District Municipality,official_gov,district,Limpopo,Mopani,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/mopani-district-municipality,"Official district municipality directory page with website and contacts"
official-vhembe,Vhembe District Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/vhembe-district-municipality,Vhembe District Municipality,official_gov,district,Limpopo,Vhembe,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/vhembe-district-municipality,"Official district municipality directory page with website and contacts"
official-bushbuckridge,Bushbuckridge Local Municipality,https://www.gov.za/about-government/contact-directory/mp-municipalities/bushbuckridge-local-municipality,Bushbuckridge Local Municipality,official_gov,local,Mpumalanga,Bushbuckridge,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/ts/about-government/contact-directory/mp-municipalities/bushbuckridge-local-municipality,"Official local municipality directory page with website and contacts"
official-nkangala,Nkangala District Municipality,https://www.gov.za/about-government/contact-directory/mp-municipalities/nkangala-district-municipality,Nkangala District Municipality,official_gov,district,Mpumalanga,Nkangala,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/mp-municipalities/nkangala-district-municipality,"Official district municipality directory page with website and contacts"
official-dr-kenneth-kaunda,Dr Kenneth Kaunda District Municipality,https://www.gov.za/about-government/contact-directory/nw-municipalities/dr-kenneth-kaunda-district-municipality,Dr Kenneth Kaunda District Municipality,official_gov,district,North West,Dr Kenneth Kaunda,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nw-municipalities/dr-kenneth-kaunda-district-municipality,"Official district municipality directory page with website and contacts"
official-moses-kotane,Moses Kotane Local Municipality,https://www.gov.za/about-government/contact-directory/nw-municipalities/moses-kotane-local-municipality,Moses Kotane Local Municipality,official_gov,local,North West,Moses Kotane,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nw-municipalities/moses-kotane-local-municipality,"Official local municipality directory page with website and contacts"
official-frances-baard,Frances Baard District Municipality,https://www.gov.za/about-government/contact-directory/nc-municipalities/frances-baard-district-municipality,Frances Baard District Municipality,official_gov,district,Northern Cape,Frances Baard,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nc-municipalities/frances-baard-district-municipality,"Official district municipality directory page with website and contacts"
official-overberg,Overberg District Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/overberg-district-municipality,Overberg District Municipality,official_gov,district,Western Cape,Overberg,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/overberg-district-municipality,"Official district municipality directory page with website and contacts"
official-sarah-baartman,Sarah Baartman District Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/sarah-baartman-district-municipality,Sarah Baartman District Municipality,official_gov,district,Eastern Cape,Sarah Baartman,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/sarah-baartman-district-municipality,"Official district municipality directory page with website and contacts"
official-inxuba-yethemba,Inxuba Yethemba Local Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/inxuba-yethemba-local-municipality,Inxuba Yethemba Local Municipality,official_gov,local,Eastern Cape,Inxuba Yethemba,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/inxuba-yethemba-local-municipality,"Official local municipality directory page with website and contacts"
official-fezile-dabi,Fezile Dabi District Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/fezile-dabi-district-municipality,Fezile Dabi District Municipality,official_gov,district,Free State,Fezile Dabi,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/fezile-dabi-district-municipality,"Official district municipality directory page with website and contacts"
official-dihlabeng,Dihlabeng Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/dihlabeng-local-municipality,Dihlabeng Local Municipality,official_gov,local,Free State,Dihlabeng,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/dihlabeng-local-municipality,"Official local municipality directory page with website and contacts"
official-sekhukhune,Sekhukhune District Municipality,https://www.gov.za/about-government/contact-directory/lp-municipalities/sekhukhune-district-municipality,Sekhukhune District Municipality,official_gov,district,Limpopo,Sekhukhune,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/lp-municipalities/sekhukhune-district-municipality,"Official district municipality directory page with website and contacts"
official-ehlanzeni,Ehlanzeni District Municipality,https://www.gov.za/about-government/contact-directory/mp-municipalities/ehlanzeni-district-municipality,Ehlanzeni District Municipality,official_gov,district,Mpumalanga,Ehlanzeni,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/mp-municipalities/ehlanzeni-district-municipality,"Official district municipality directory page with website and contacts"
official-mahikeng,Mahikeng Local Municipality,https://www.gov.za/about-government/contact-directory/nw-municipalities/mahikeng-local-municipality,Mahikeng Local Municipality,official_gov,local,North West,Mahikeng,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nw-municipalities/mahikeng-local-municipality,"Official local municipality directory page with website and contacts"
official-siyathemba,Siyathemba Local Municipality,https://www.gov.za/about-government/contact-directory/nc-municipalities/siyathemba-local-municipality,Siyathemba Local Municipality,official_gov,local,Northern Cape,Siyathemba,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nc-municipalities/siyathemba-local-municipality,"Official local municipality directory page with website and contacts"
official-cape-winelands,Cape Winelands District Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/cape-winelands-district-municipality,Cape Winelands District Municipality,official_gov,district,Western Cape,Cape Winelands,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/cape-winelands-district-municipality,"Official district municipality directory page with website and contacts"
official-george,George Local Municipality,https://www.gov.za/about-government/contact-directory/wc-municipalities/george-local-municipality,George Local Municipality,official_gov,local,Western Cape,George,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/wc-municipalities/george-local-municipality,"Official local municipality directory page with website and contacts"
official-ngaka-modiri-molema,Ngaka Modiri Molema District Municipality,https://www.gov.za/about-government/contact-directory/nw-municipalities/ngaka-modiri-molema-district-municipality,Ngaka Modiri Molema District Municipality,official_gov,district,North West,Ngaka Modiri Molema,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/nw-municipalities/ngaka-modiri-molema-district-municipality,"Official district municipality directory page with website and contacts"
official-elundini,Elundini Local Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/elundini-local-municipality,Elundini Local Municipality,official_gov,local,Eastern Cape,Elundini,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/elundini-local-municipality,"Official local municipality directory page with website and contacts"
official-makana,Makana Local Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/makana-local-municipality,Makana Local Municipality,official_gov,local,Eastern Cape,Makana,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/makana-local-municipality,"Official local municipality directory page with website and contacts"
official-blue-crane-route,Blue Crane Route Local Municipality,https://www.gov.za/about-government/contact-directory/ec-municipalities/blue-crane-route-local-municipality,Blue Crane Route Local Municipality,official_gov,local,Eastern Cape,Blue Crane Route,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/ec-municipalities/blue-crane-route-local-municipality,"Official local municipality directory page with website and contacts"
official-maluti-a-phofung,Maluti-a-Phofung Local Municipality,https://www.gov.za/about-government/contact-directory/fs-municipalities/maluti-phofung-local-municipality,Maluti-a-Phofung Local Municipality,official_gov,local,Free State,Maluti-a-Phofung,"general","kpi_truth",regular,html,tier_1,verified,https://www.gov.za/about-government/contact-directory/fs-municipalities/maluti-phofung-local-municipality,"Official local municipality directory page with website and contacts"
